filename,parentid,objectid,format,title,creator,description,subject,date,location
,,tentacle001,compound_object,Destruction and Creation,Madison ,,,,
,tentacle001,tentaclei001,record,Destruction and Creation,Madison ,,theme; destruction; creation;,,
,,,,,,,,,
,,,,,,,,,
,,tentacle002,compound_object,Triads,Madison,,,,
,tentacle002,tentacle002,record,Triads ,Madison,,theme; triads,,
,tentacle002,tentacle005,record,Acilde-Giorgio-Roque,,,,,
,tentacle002,tentacle006,record,Acilde-Esther-Eric,,,,,
,tentacle002,tentacle007,record,Giorgio-Argenis-Linda,,,,,
,,,,,,,,,
,,tentacle003,compound_object,Characters,Madison ,,,,
,tentacle003,tentacle003,record,Characters,Madison ,,theme; characters;,,
,tentacle003,tentacle008,record,Acilde,,,,,
,tentacle003,tentacle009,record,Giorgio,,,,,
,tentacle003,tentacle010,record,Roque,,,,,
,tentacle003,tentacle011,record,Esther,,,,,
,tentacle003,tentacle012,record,Eric,,,,,
,tentacle003,tentacle013,record,Argenis,,,,,
,tentacle003,tentacle014,record,Cote de Fer,,,,,
,tentacle003,tentacle015,record,Linda,,,,,
,tentacle003,tentacle016,record,Billy the dog,,,,,
,,,,,,,,,
,,tentacle004,compound_object,"Consent, Responsibility, and Exploitation",Madison,,,,
,tentacle004,tentacle004,record,"Consent, Responsibility, and Exploitation",Madison,,theme; consent; responsibility; exploitation; ,,
,tentacle004,tentacle017,record,Acilde's Responsibility,,,,,
,tentacle004,tentacle018,record,Eric's Responsibility,,,,,
,tentacle004,tentacle019,record,Rape and Sexual Violence,,,,,
,tentacle004,tentacle020,record,Masculinity ,,,,,
